position,docid,date,court,title
646,78199894,2023-06-05,Bombay High Court,"Oil And Natural Gas Corporatiojn Ltd vs Petroleum Employees Union And 24 Ors on 5 June, 2023"
647,8096970,2023-04-10,Karnataka High Court,"Vijaya Kumar B vs The Management Of M/S Leotech on 10 April, 2023"
648,85388416,2023-04-10,Karnataka High Court,"The Management Of vs Mr Vijayakumar And 4 Ors on 10 April, 2023"
649,183691307,2023-01-13,Himachal Pradesh High Court,"Seli Hydro Electric Power Company ... vs Director on 13 January, 2023"
650,126914242,2021-07-30,Gujarat High Court,"M/S Global S.S. Construction Pvt. Ltd. vs Chief General Manager, (Mechnical-I/C ... on 30 July, 2021"
651,50958619,2021-07-30,Gujarat High Court,"M/S Global S S Construction Pvt. Ltd. vs Oil And Natural Gas Corporation (Ongc) on 30 July, 2021"
652,173069646,2021-07-30,Gujarat High Court,"M/S Global Ss Construction Pvt. Ltd. vs Ed-Am Oil And Natural Gas Corporation ... on 30 July, 2021"
653,13479769,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation & ... vs Gautam Anand on 22 March, 2018"
654,180222386,2018-03-08,Allahabad High Court,"Bundel Khand Advertising Association ... vs State Of U.P. And 8 Others on 8 March, 2018"
655,102896460,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation & ... vs Sanjeev Oberoi on 22 March, 2018"
656,67407005,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation & ... vs Vikram Bhagat on 22 March, 2018"
657,92879935,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation & ... vs Munish Anand on 22 March, 2018"
658,148298903,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation & ... vs Munish Anand on 22 March, 2018"
659,16695761,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation vs Harpreet Arora on 22 March, 2018"
660,193113904,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation & ... vs Munish Anand on 22 March, 2018"
661,7841234,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation And ... vs Munish Anand on 22 March, 2018"
662,142614104,2014-08-28,Bombay High Court,"Prakash Cotton Mills Pvt. Ltd vs Vinod Tejraj Gowani on 28 August, 2014"
663,177239951,2015-10-02,Kerala High Court,"Simplex Infrastructures Ltd vs State Of Kerala Represented By on 2 October, 2015"
664,74789216,2015-11-26,Patna High Court,"Spml Infra Ltd. & Anr vs The State Of Bihar & Ors on 26 November, 2015"
665,128348118,2015-10-30,Bombay High Court,"Vastsalabai Vishnu Jadhav And Another vs Marathwada Medical Research And Rural ... on 30 October, 2015"
666,88830942,2015-10-30,Bombay High Court,"Chandrakala Lalaji Misal And Others vs Marathwada Medical Research And Rural ... on 30 October, 2015"
667,194504966,2015-10-30,Bombay High Court,"Laxmibai Dilip Hiwarale And Others vs Marathwada Medical Research And Rural ... on 30 October, 2015"
668,134342827,2016-05-05,Bombay High Court,"Indiabulls Power Limited, New Delhi vs The State Of Maharashtra Through The ... on 5 May, 2016"
669,16017622,2024-11-12,Delhi High Court,"Management Of Ashok Hotel (Itdc) vs Their Workmen & Anr. on 12 November, 2024"
670,127048248,2024-08-20,Orissa High Court,"M/S Bansal Infra Projects Pvt vs M/S Jindal Steel & Power Ltd. ...... Opp. ... on 20 August, 2024"
671,160817448,2024-06-28,Gujarat High Court,"Surat Municipal Corporation Through ... vs Patel Engineering Co Ltd on 28 June, 2024"
672,82442333,2024-10-22,Bombay High Court,"M/S Tata Steel Ltd. Wire Division Thr Its ... vs Maharashtra Shramjivi General Kamgar ... on 22 October, 2024"
673,74071392,2024-08-31,Gauhati High Court,"WP(C)/1076/2024 on 31 August, 2024"
674,97405400,2024-04-22,Gujarat High Court,"Gujarat Energy Transmission ... vs Akhil Gujarat General Mazdoor Sangh on 22 April, 2024"
675,154734691,2024-11-08,Delhi High Court,"Balaji Steel Trade vs Fludor Benin S.A. & Ors. on 8 November, 2024"
676,150163799,2024-12-11,Madhya Pradesh High Court,"Ujjawal Chauhan vs The State Of Madhya Pradesh on 11 December, 2024"
677,159043488,2024-12-11,Madhya Pradesh High Court,"Powermesh Projects Limited vs The State Of Madhya Pradesh on 11 December, 2024"
678,42939000,2024-12-11,Madhya Pradesh High Court,"K.G. Developers vs The State Of Madhya Pradesh on 11 December, 2024"
679,5628520,2024-12-11,Madhya Pradesh High Court,"M/S Vanshika Constructions vs The State Of Madhya Pradesh on 11 December, 2024"
680,141050377,2024-12-11,Madhya Pradesh High Court,"R.K Transport And Construction Ltd. vs The State Of Madhya Pradesh on 11 December, 2024"
681,139379649,2024-12-11,Madhya Pradesh High Court,"M/S Ashtvakra It Solution Ltd vs The State Of Madhya Pradesh on 11 December, 2024"
682,74806810,2024-12-11,Madhya Pradesh High Court,"M/S Dhanlaxmi Merchandise Pvt. vs The State Of Madhya Pradesh on 11 December, 2024"
683,195855621,2024-12-11,Madhya Pradesh High Court,"M/S Rajesh Pathak vs The State Of Madhya Pradesh on 11 December, 2024"
684,74373930,2024-12-11,Madhya Pradesh High Court,"Vista Sales Pvt. Ltd. Being Represented vs The State Of Madhya Pradesh on 11 December, 2024"
685,113034485,2024-12-11,Madhya Pradesh High Court,"Sainik Industries Pvt Ltd vs The State Of Madhya Pradesh on 11 December, 2024"
686,126556125,2025-06-18,Orissa High Court,"M/S Odisha Mining Corporation Limited vs Union Of India on 18 June, 2025"
687,120175914,2024-12-11,Madhya Pradesh High Court,"Rsi Stone World Pvt. Ltd. vs The State Of Madhya Pradesh on 11 December, 2024"
688,121358168,2024-12-11,Madhya Pradesh High Court,"Shishir Khandar vs The State Of Madhya Pradesh on 11 December, 2024"
689,77783343,2025-04-02,Delhi High Court,"M/S Seaspray Shipping Co Ltd vs Steel Authority Of India Ltd on 2 April, 2025"
690,97851143,2025-03-10,Delhi High Court,"Inpraprastha College Of Women vs Ms Himani Malhotra & Anr. on 10 March, 2025"
691,92687898,2025-04-02,Delhi High Court,"Steel Authority Of India Ltd vs M/S Seaspray Shipping Co. Ltd on 2 April, 2025"
692,44587433,2024-08-28,Madras High Court,"Olam International Limited vs Manickavel Edible Oils Private Limited on 28 August, 2024"
693,153060773,2023-10-12,Telangana High Court,"Keytrade Ag vs Nagarjuna Fertilizers And Chemicals ... on 12 October, 2023"
694,165668252,2023-09-06,Allahabad High Court,"New Okhla Industrial Development ... vs M/S Pathik Software Education Private ... on 6 September, 2023"
695,59952539,2024-08-28,Madras High Court,"Olam International Limited vs Manickavel Edible Oils Private Limited on 28 August, 2024"
696,53624548,2024-05-28,Delhi High Court,"Ekanek Networks Pvt. Ltd. vs Aditya Mertia on 28 May, 2024"
697,3728472,2024-08-28,Madras High Court,"Olam International Limited vs Manickavel Edible Oils Private Limited on 28 August, 2024"
698,62890028,2022-06-09,Bombay High Court,"Bsi-Jdn Joint Venture And 2 Ors vs The Board Of Trustees Of The Jawaharlal ... on 9 June, 2022"
699,58576179,2022-07-21,Jharkhand High Court,"M/S R.K.Mineral Development Pvt. Ltd vs Hindalco Industries Limited on 21 July, 2022"
700,151639276,2022-12-21,Gauhati High Court,"The Sports Authority Of Assam vs Larsen And Tourbo Limited And Anr on 21 December, 2022"
701,136782924,2022-05-31,Delhi High Court,"Central Warehousing Corporation vs Govt Of India And Ors on 31 May, 2022"
702,191708458,2023-02-02,Delhi High Court,"Metcon India Realty And Infrastructure ... vs Delhi Metro Rail Corporation Ltd. on 2 February, 2023"
703,134578758,2023-01-13,Gujarat High Court,"Suraj Agri Business Pte Ltd vs Kandla Export Corporation Through ... on 13 January, 2023"
704,106202759,2021-11-24,Delhi High Court,"Tata Capital Housing Finance Ltd vs Shri Chand Construction And Apartment ... on 24 November, 2021"
705,55978866,2021-03-16,Gujarat High Court,"Ratnam Energy Private Limited Through ... vs Oil And Natural Gas Corporation Limited on 16 March, 2021"
706,10609724,2021-03-16,Gujarat High Court,"Ratnam Energy Private Limited Through ... vs Oil And Natural Gas Corporation Limited on 16 March, 2021"
707,150885969,2020-12-18,Bombay High Court,"Preeti Pritam Nagrkar vs Cbi Acb, Mumbai And Anr on 18 December, 2020"
708,187317275,2018-03-22,Delhi High Court,"North Delhi Muncipal Corporation & Anr. vs Sanjeev Oberoi on 22 March, 2018"
709,184868935,2018-05-15,Jharkhand High Court,"Kmc-Eci (Jv) vs The State Of Jharkhand Through The ... on 15 May, 2018"
710,148099380,2018-03-22,Delhi High Court,"East Delhi Municipal Corporation vs Raj Kumar Jain on 22 March, 2018"
711,6922749,2018-05-18,Jharkhand High Court,"Adhunik Power And Natural Resources ... vs Coal India Limited on 18 May, 2018"
712,143027014,2019-04-08,Delhi High Court,"Sukumar Chand Jain vs Dda on 8 April, 2019"
713,196564906,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation vs Kamal Gupta on 22 March, 2018"
714,167171337,2018-02-28,Rajasthan High Court - Jaipur,"Raj Rajya Vidyut Utpadan Nigam Ltd vs Parsa Kente Collieries Ltd on 28 February, 2018"
715,92082865,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation & ... vs Sanjeev Oberoi on 22 March, 2018"
716,4525687,2019-04-02,Madras High Court,"The Superintending Engineer vs M/S.Gowpatt Associates on 2 April, 2019"
717,89645446,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation & Anr vs Gautam Anand on 22 March, 2018"
718,159600400,2018-03-22,Delhi High Court,"East Delhi Municipal Corporation & Anr. vs Kapil Kumar Puri on 22 March, 2018"
719,167442554,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation & ... vs Sanjeev Oberoi on 22 March, 2018"
720,78397768,2018-02-20,Madras High Court,"Puravankara Projects Limited ... vs Galaxy Properties Private Limited ... on 20 February, 2018"
721,101420439,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation & ... vs Raj Rani on 22 March, 2018"
722,86681311,2018-07-25,Gujarat High Court,"Oil And Natural Gas Corporation Ltd vs M/S Deep Industries Ltd on 25 July, 2018"
723,103132231,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation & ... vs Sanjeev Oberoi on 22 March, 2018"
724,174778562,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation & ... vs Rajwans Vadhera on 22 March, 2018"
725,198122188,2011-06-30,Rajasthan High Court - Jaipur,"R B Construction vs Project Director on 30 June, 2011"
726,1048611,2010-03-19,Madras High Court,"M/S.Saran Agency vs Hindustan Petroleum Corporation Ltd on 19 March, 2010"
727,54606500,2014-10-09,Delhi High Court,"M/S Camco Multi Metal Ltd. vs M/S. Intamex S.A. & Anr. on 9 October, 2014"
728,13327787,2016-04-25,Calcutta High Court,"Steel Authority Of India Ltd vs Htc Engineering (1958) Private Ltd on 25 April, 2016"
729,41309861,2015-03-10,Supreme Court - Daily Orders,"Harmony Innovation Shipping Ltd. vs Gupta Coal India Ltd. on 10 March, 2015"
730,108927343,2014-05-28,Supreme Court - Daily Orders,"Reliance Industries Ltd. vs U.O.I on 28 May, 2014"
731,34875937,2016-03-31,Jharkhand High Court,"Ms Agros Impex India Private Limited vs Chief Secretory on 31 March, 2016"
732,1171780,2008-06-09,Madras High Court,"V. Manickam Engineers Private Limited vs The State Of Tamil Nadu on 9 June, 2008"
733,1690729,1965-07-01,Bombay High Court,"Rambhau Jairam Dhamange vs Vinkur Co-Operative Society Ltd. (By ... on 1 July, 1965"
734,44908767,1800-01-01,Gujarat High Court,Kirtikumar vs Dilipkumar
735,19566017,2023-09-19,Karnataka High Court,"Karnataka Emta Coal Mines Ltd vs Karnataka Power Corporation Limited on 19 September, 2023"
736,84600990,2020-11-03,Madhya Pradesh High Court,"Hemang Resources Ltd.Through Mr. ... vs Bank Of India on 3 November, 2020"
737,82116384,2018-06-05,Telangana High Court,"Nuziveedu Swathi Coastal Consortium vs The State Of Andhra Pradesh on 5 June, 2018"
738,61413605,2018-06-05,Telangana High Court,"M/S. Hcccppl Jv vs The State Of Andhra Pradesh on 5 June, 2018"
739,170730127,2018-11-28,Uttarakhand High Court,"M/S Bharat Construction & Another. ... vs State Of Uttarakhand & Others on 28 November, 2018"
740,158908081,2017-08-29,Calcutta High Court,"Lmj International Ltd vs Sleepwell Industries Co. Ltd. & Anr on 29 August, 2017"
741,73749124,2018-06-05,Telangana High Court,"M/S. Sabir Sew And Prasad vs State Of Ap on 5 June, 2018"
742,122416564,2014-12-17,Supreme Court - Daily Orders,"International Amusement Limited vs India Trade Promotion Organization on 17 December, 2014"
743,1221128,2001-10-23,Bombay High Court,"Krishnali Resports Pvt. Ltd. vs B.E. Billimorria And Co. Ltd. on 23 October, 2001"
744,1999613,2001-08-17,Rajasthan High Court - Jaipur,"Friends Coal Carbonisation vs Hindustan Zinc Ltd. on 17 August, 2001"
745,1284229,2001-12-12,Andhra HC (Pre-Telangana),"Cultor Food Science Inc. vs Nicholas Piramal India Limited And Ors. on 12 December, 2001"
746,55662,1976-08-16,Gujarat High Court,"European Grain And Shipping, A Company vs Morvi Vegetable Products Ltd. on 16 August, 1976"
747,165906684,2022-01-07,Madhya Pradesh High Court,"M/S Gyatri Projects Limited vs Madhya Pradesh Road Development ... on 7 January, 2022"
748,175573841,2017-04-11,Allahabad High Court,"Harjit Singh & Another vs State Of U.P.Through Principal ... on 11 April, 2017"
749,1963510,2003-04-10,Allahabad High Court,"Roshan Packed Movers vs Indian Oil Corporation Ltd. And Anr. on 10 April, 2003"
750,1584017,1958-08-06,Calcutta High Court,"Michel Golodetz And Ors. vs Serajuddin And Co. on 6 August, 1958"
751,35458968,2017-09-05,Gujarat High Court,"Mv Nicolaos A vs Indian Farmers Fertilizers ... on 5 September, 2017"
752,7788501,2024-10-14,Gujarat High Court,"Shailesh Anilkumar Amin vs Gujarat Metro Rail Corporation (Gmrc) ... on 14 October, 2024"
753,39900642,2023-08-09,Gujarat High Court,"Gujarat State Electricity Corporation ... vs Makol Of Femw Works And Registered ... on 9 August, 2023"
754,194400323,2023-07-18,Delhi High Court,"Ntpc Ltd vs L And T - Mhps Boilers Pvt Ltd on 18 July, 2023"
755,90724385,2022-07-18,Delhi High Court,"Harji Engineering Works Private ... vs Punjab And Sind Bank & Anr. on 18 July, 2022"
756,45103758,2020-01-29,Kerala High Court,"State Of Kerala vs P. B. Sunil on 29 January, 2020"
757,189554392,2017-08-31,Gujarat High Court,"For Approval And Signature vs Workmen Represented By Bijlee Mazdoor ... on 31 August, 2017"
758,80408513,2019-12-12,Bombay High Court,"Itd Cementation India Ltd vs Konkan Railway Corporation Ltd on 12 December, 2019"
759,38147860,2019-04-27,Madras High Court,"Tropical Breweries (P) Ltd vs The State Of Tamil Nadu on 27 April, 2019"
760,65950772,2016-11-16,Patna High Court,"Balaji Infraro (I) Ltd vs Chanakya National Law University & Ors on 16 November, 2016"
761,151705830,2025-05-01,Patna High Court - Orders,"The State Of Bihar And Ors vs M/S Saran Construction, Prop. Sri ... on 1 May, 2025"
762,153529386,2025-01-31,Patna High Court,"Ncc Ltd vs The State Of Bihar on 31 January, 2025"
763,113574309,2025-05-01,Patna High Court - Orders,"The State Of Bihar And Ors vs M/S Birendra Prasad Singh on 1 May, 2025"
764,56291561,2025-05-01,Patna High Court - Orders,"The State Of Bihar And Anr vs M/S Umesh Kumar And Com, Prop. Sri Umesh ... on 1 May, 2025"
765,181954643,2025-05-01,Patna High Court - Orders,"The State Of Bihar And Ors vs Shri Shailendra Kumar Akela on 1 May, 2025"
766,43256668,2025-05-01,Patna High Court - Orders,"The State Of Bihar And Ors vs M/S Maruti Enterprises, Gudari And Anr on 1 May, 2025"
767,34478051,2025-01-06,Calcutta High Court,"Neo Metaliks Limited vs Orrisa Metaliks Private Limited on 6 January, 2025"
768,109217062,2025-05-01,Patna High Court - Orders,"The State Of Bihar And Ors vs M/S Jai Maa Bhawani Construction Pvt. ... on 1 May, 2025"
769,4795144,2025-05-01,Patna High Court - Orders,"The State Of Bihar And Ors vs M/S Shaligram Singh on 1 May, 2025"
770,1106426,2025-05-01,Patna High Court - Orders,"The State Of Bihar And Ors vs M/S Komal Construction Chhawani on 1 May, 2025"
771,19672051,2025-05-01,Patna High Court - Orders,"The State Of Bihar And Ors vs M/S Rambriksha Singh, Partner Sri Sheo ... on 1 May, 2025"
772,130233446,2025-05-01,Patna High Court - Orders,"The State Of Bihar And Ors vs Dilip Kumar Munka on 1 May, 2025"
773,8468586,2024-01-24,Gauhati High Court,"WP(C)/6446/2023 on 24 January, 2024"
774,117973932,2024-10-07,Delhi High Court,"Jhajharia Nirman Ltd vs South Western Railways Through Dy. ... on 7 October, 2024"
775,7409827,2024-10-07,Delhi High Court,"Jhajharia Nirman Ltd vs Union Of India Through Ministry Of ... on 7 October, 2024"
776,161371470,2024-08-21,Delhi High Court,"Executive Engineer vs Aakash Construction Company & Anr. on 21 August, 2024"
777,14412699,2024-04-24,Delhi High Court,"Delhi State Industrial Infrastructure ... vs M/S Pnc Delhi Industrial Infra Pvt Ltd on 24 April, 2024"
778,63198964,2024-06-03,Telangana High Court,"M/S Chaitanya Energy Private Limited vs Indian Bank on 3 June, 2024"
779,124333116,2023-12-13,Delhi High Court,"National Agricultural Cooperative ... vs Avneet Goel on 13 December, 2023"
780,13710164,2025-05-22,Calcutta High Court,"Bvepl Bhartia (Jv) vs State Of West Bengal And Ors on 22 May, 2025"
781,28140715,2025-05-02,Karnataka High Court,"The Management Of vs Mr. Vijaya Kumar B And 4 Ors on 2 May, 2025"
782,69340963,2023-09-27,Karnataka High Court,"M/S American Road Technology And ... vs Bruhat Bengaluru Mahanagara Palike on 27 September, 2023"
783,180989205,2023-09-11,Madras High Court,"M/S.National Federation Of Farmers vs M/S.Nlc India Limited on 11 September, 2023"
784,122724984,2023-02-24,Delhi High Court,"M/S Kuldeep Kumar Contractor vs Hindustan Prefab Limited on 24 February, 2023"
785,199815846,2023-07-06,Delhi High Court,"Central Electronics Limited vs Energy Efficiency Services Limited & ... on 6 July, 2023"
786,143236772,2023-04-13,Delhi High Court,"Kamladityya Construction Pvt. Ltd & ... vs Rail Land Development Authority, & Anr. on 13 April, 2023"
787,151398966,2023-01-05,Himachal Pradesh High Court,"Manoj Agrawal Aged 44 vs Rajapura on 5 January, 2023"
788,156812024,2022-11-24,Jharkhand High Court,"M/S Central Coalfields Limited vs Eastern India Powertech Ltd. ... on 24 November, 2022"
789,194657505,2021-08-25,Gujarat High Court,"Jinmangal Corporation vs Ahmedabad Urban Development Authority on 25 August, 2021"
790,70620495,2020-08-14,Madras High Court,"M/S.Transtonnelstroy Ltd vs M/S.Chennai Metro Rail Ltd on 14 August, 2020"
791,21785888,2020-08-14,Madras High Court,"M/S.Transtonnelstroy Ltd vs M/S.Chennai Metro Rail Ltd on 14 August, 2020"
792,115145741,2021-04-22,Madras High Court,"Adm International Sarl vs Sunraja Oil Industries Private Limited on 22 April, 2021"
793,48344061,2022-02-28,Delhi High Court,"Mumbai International Airport Limited vs Airports Authority Of India on 28 February, 2022"
794,177665907,2018-12-27,Gujarat High Court,"Mena Energy Dmcc vs Mt Queen Helena ( Imo No 9341354 ) on 27 December, 2018"
795,30324081,2020-01-06,Bombay High Court,"Oil And Natural Gas Corporation Ltd vs Cgg Services Sas on 6 January, 2020"
796,10874836,2019-07-30,Uttarakhand High Court,"M/S Kuldip Singh Sethi & Gagan Goyal vs Ecole Globale International Girls ... on 30 July, 2019"
797,171157618,2020-03-12,Gujarat High Court,"Messrs N J Devani Builders Pvt. Ltd vs Union Of India on 12 March, 2020"
798,196127500,2020-01-06,Bombay High Court,"Oil And Natural Gas Corporation Ltd vs Cgg Services Sas on 6 January, 2020"
799,173253063,2018-06-21,Bombay High Court,"Keynote Capitals Ltd vs Eco Recycling Ltd on 21 June, 2018"
800,76019397,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation And ... vs Shiv Shankar Gupta on 22 March, 2018"
801,169436838,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation vs Varinderjeet Singh on 22 March, 2018"
802,41447875,2019-10-17,Patna High Court,"M/S Bla Infrastructure Pvt.Ltd vs The Bihar State Industrial Dev on 17 October, 2019"
803,18274000,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation vs Varinderjeet Singh on 22 March, 2018"
804,192637875,2020-01-06,Bombay High Court,"Oil And Natural Gas Corporation Ltd vs Cgg Services Sas on 6 January, 2020"
805,26967103,2018-04-17,Punjab-Haryana High Court,"Isgec Heavy Engineering Limited vs Cavite Biofuel Producers Inc. & Amother on 17 April, 2018"
806,127970350,2020-01-06,Bombay High Court,"Oil And Natural Gas Corporation Ltd vs Cgg Services Sas on 6 January, 2020"
807,5158046,2020-06-04,Delhi High Court,"Suzlon Energy Ltd. vs Ostro Ap Wind Pvt. Ltd & Anr. on 4 June, 2020"
808,83612110,2019-11-06,Bombay High Court,"Maharashtra State Electricity ... vs Godrej And Boyce Manufacturing Company ... on 6 November, 2019"
809,63215679,2019-08-22,Orissa High Court,"Mahanadi Coalfields Ltd vs M/S.S.K.Samant & Co. Ltd. & Another on 22 August, 2019"
810,108681219,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation & ... vs Bharat Arora on 22 March, 2018"
811,94037067,2017-01-19,Madras High Court,"M/S.Aarthi Enterprises vs Southern Railways on 19 January, 2017"
812,122478710,2020-01-06,Bombay High Court,"Oil And Natural Gas Corporation Ltd vs Cgg Services Sas on 6 January, 2020"
813,40169832,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation & ... vs Amit Chadha on 22 March, 2018"
814,24527470,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation vs Varinderjeet Singh on 22 March, 2018"
815,81491783,2017-04-25,Gujarat High Court,"Tata Chemicals Limited vs Okha Mandal Majoor Sangh & 2 on 25 April, 2017"
816,166387594,2015-07-01,Delhi High Court,"Power Grid Corpn. Of (I) Ltd. vs Rpg Transmission Ltd. on 1 July, 2015"
817,183149231,2011-02-04,Karnataka High Court,"S.A.L. Limited., vs Shreenidhi Trading Company, on 4 February, 2011"
818,96075575,2016-08-17,Himachal Pradesh High Court,"Unknown vs Continental Foundation Joint Venture on 17 August, 2016"
819,176740556,2013-08-07,Rajasthan High Court - Jaipur,"M/S Sequin Real Estate And Anr vs Ramesh Chand Dangaich And Ors on 7 August, 2013"
820,2297960,2012-08-31,Delhi High Court,"Bharat Heavy Electricals Ltd. vs Mass Global Investment Company & Ors. on 31 August, 2012"
821,292031,2011-01-24,Gujarat High Court,"Croft vs M on 24 January, 2011"
822,22626972,2016-08-17,Himachal Pradesh High Court,"Unknown vs Continental Foundation Joint Venture on 17 August, 2016"
823,559731,2008-04-30,Gujarat High Court,"Vimal Services Ltd. vs Bank Of India Thro' Manager And Anr. on 30 April, 2008"
824,963738,2009-12-16,Bombay High Court,"Corporation vs Ijm Corporation Berhad (Ijm) - Satyam on 16 December, 2009"
825,920389,2009-03-16,Bombay High Court,"Corporation Ltd. A Government vs The Cotton Corporation Of on 16 March, 2009"
826,1924916,1996-04-04,Bombay High Court,"Indian Airports Employees Union vs Air India & Ors. on 4 April, 1996"
827,173015,1989-03-23,Bombay High Court,"Oil And Natural Gas Commission Of India vs The Western Company Of North America on 23 March, 1989"
828,39241565,1800-01-01,Madras High Court,Indian Oil Corporation Limited vs Lt. Col. Sasikumar (Retd.)
829,6727534,1800-01-01,Madras High Court,The Superintending Engineer vs M. Murugan
830,192840914,2024-12-13,Calcutta High Court,"Titagarh Rail Systems Limited vs Yes Bank Limited & Anr on 13 December, 2024"
831,191783030,2024-05-09,Patna High Court,"M/S Star Electricals vs The State Of Electricity Board Now North ... on 9 May, 2024"
832,156016643,2024-06-21,Kerala High Court,"Marymatha Infrastructure Pvt. Ltd vs Roads & Bridges Development ... on 21 June, 2024"
833,152431947,2024-04-25,Rajasthan High Court - Jaipur,"M/S S.R. Glass Industries vs Rajasthan State Ganganagar Sugar Mills ... on 25 April, 2024"
834,184836347,2024-01-30,Kerala High Court,"V.C.Suresh vs Travancore Devaswom Board - Tdb on 30 January, 2024"
835,181346140,2024-04-22,Karnataka High Court,"Union Of India vs M/S Harcharan Dass Gupta on 22 April, 2024"
836,134281463,2024-05-07,Jharkhand High Court,"Jharkhand Urja Vikas Nigam Limited ... vs M/S Rites Limited on 7 May, 2024"
837,115364255,2025-01-07,Kerala High Court,"M/S.Bhageeratha Engineering Ltd vs State Of Kerala on 7 January, 2025"
838,115250046,2025-04-10,Kerala High Court,"Swamy Ayyappa Enterprises Gayathri ... vs Travancore Devaswom Board on 10 April, 2025"
839,73891386,2023-11-28,Madhya Pradesh High Court,"Prasanna Kumar Palla vs The State Of Madhya Pradesh on 28 November, 2023"
840,174427875,2023-11-28,Madhya Pradesh High Court,"Kalyansundar vs The State Of Madhya Pradesh on 28 November, 2023"
841,109657415,2023-11-01,Jammu & Kashmir High Court,"M/S A K Engineers And Contractors Pvt vs Union Territory Of J&K And Ors on 1 November, 2023"
842,63573872,2023-11-28,Madhya Pradesh High Court,"Sridhar Cherukuri vs The State Of Madhya Pradesh on 28 November, 2023"
843,40944373,2025-03-11,Kerala High Court,"M/S.Ajr Global Exports vs The Executive Officer on 11 March, 2025"
844,29074861,2023-12-13,Bombay High Court,"Railsys Engineers Private Ltd vs Overseas Infrastructure Alliance ... on 13 December, 2023"
845,82499087,2023-12-13,Bombay High Court,"Overseas Infrastructure Alliance ... vs Railsys Engineers Private Ltd on 13 December, 2023"
846,198748566,2023-12-13,Bombay High Court,"Railsys Engineers Private Ltd vs Overseas Infrastructure Alliance ... on 13 December, 2023"
847,26395310,2023-03-27,Delhi High Court,"M/S Super Ads vs 1. All India Radio (Akashvani) & Ors. on 27 March, 2023"
848,8367166,2022-07-26,Bombay High Court,"Vishwajit Infrastructure Pvt.Ltd vs L And T - Stec Jv, Mumbai on 26 July, 2022"
849,167107768,2022-09-27,Karnataka High Court,"Prasaath Kondreddy vs The Inspector Of Police And Anr on 27 September, 2022"
850,192450275,2022-06-28,Gujarat High Court,"Gujarat Energy Transmission ... vs Akhil Gujarat General Mazdoor Sangh on 28 June, 2022"
851,56701982,2021-12-23,Karnataka High Court,"M/S Sri Avatika Contractors (I) Ltd And ... vs The Inspector Of Police on 23 December, 2021"
852,92384592,2021-09-06,Rajasthan High Court - Jodhpur,"Samaritan Consultancy And Tech. ... vs Union Of India on 6 September, 2021"
853,139091791,2021-02-22,Delhi High Court - Orders,"M/S Acuraglobe Llp vs Superchem Nutri Formulations on 22 February, 2021"
854,196680233,2022-03-25,Gujarat High Court,"Vijai Electricals Limited vs Transformers And Rectifiers India Ltd on 25 March, 2022"
855,186221309,2021-09-13,Gujarat High Court,"Sardar Sarovar Narmada Nigam Limited vs Aniha Corporation on 13 September, 2021"
856,175681011,2021-09-13,Gujarat High Court,"Sardar Sarovar Narmada Nigam Limited vs Aniha Corporation on 13 September, 2021"
857,195217138,2018-03-27,Gujarat High Court,"M/S Bipson Surgical(India) Pvt. Ltd., vs State Of Gujarat on 27 March, 2018"
858,117110038,2018-08-03,Karnataka High Court,"M/S Escorts And Goetze Labourers ... vs The Management Of Federal Mogul Goetze ... on 3 August, 2018"
859,191544208,2017-09-20,Bombay High Court,"Villayati Ram Mittal (P) Ltd vs Reseerve Bank Of India on 20 September, 2017"
860,69879970,2017-09-18,Karnataka High Court,"M/S Landis Gyr Limited vs The General Manager (M & C) on 18 September, 2017"
861,111565299,2018-02-26,Gujarat High Court,"Swan Lng Pvt. Ltd. vs National Marine Infrastructure India ... on 26 February, 2018"
862,107132013,2020-04-28,Karnataka High Court,"M/S. Indo Unique Flame Ltd. vs M/S. Karnataka Power Corporation Ltd., on 28 April, 2020"
863,26385611,2017-10-09,Punjab-Haryana High Court,"M/S Thermax Ltd vs Municipal Cororation Chandigarh Th ... on 9 October, 2017"
864,41727320,2019-08-29,Madras High Court,"M/S.Mandava Holdings Pvt. Ltd vs M/S.Khiviraj Automibiles And ... on 29 August, 2019"
